org_id,ico
861832,40229939
892288,40524566
938149,40995356
941815,41031326
941852,41031717
942228,41035526
971655,41328523
1023963,41881133
1047796,42140021
1054011,42197449
1073763,42396565
1075157,42409217
1104611,42716837
1104612,42716845
1104613,42716853
1104614,42716861
1104622,42716942
1104640,42717124
1104641,42717132
1104643,42717159
1104676,42717566
1104768,42718473
1105554,42726255
1105555,42726263
1107370,42743036
1107371,42743044
1107372,42743052
1107498,42744326
1109823,42766214
1109862,42766648
1109877,42766796
1122133,42887275
1122202,42887968
1127421,42939534
1156361,43254403
1156603,43256848
1168201,43378790
1168202,43378803
1168207,43378854
1168210,43378889
1168218,43378960
1168241,43379192
1168242,43379206
1168259,43379371
1168292,43379711
1168383,43380611
1175949,43465030
1175955,43465099
1175965,43465196
1175970,43465242
1175988,43465439
1179209,43498035
1179240,43498345
1179252,43498469
1179253,43498477
1179254,43498485
1179258,43498523
1179353,43499465
1179408,43500013
1179460,43500536
1180368,43509959
1180369,43509967
1203381,43751113
1203384,43751148
1203393,43751237
1203458,43751911
1203462,43751954
1203474,43752080
1205753,43776493
1213105,43852564
1215187,43873499
1221132,43960529
1221230,43961533
1221345,43962726
1221528,43964591
1226802,44018762
1226814,44018886
1236283,44117434
1237141,44125909
1240401,44159854
1240414,44159994
1240420,44160062
1240421,44160071
1240422,44160089
1240427,44160135
1240810,44163967
1240825,44164114
1240826,44164122
1240846,44164335
1246249,44224061
1246280,44224371
1246392,44225512
1246397,44225563
1246475,44226349
1246605,44227663
1246630,44227922
1267452,44468580
1267469,44468750
1267473,44468792
1267483,44468890
1267485,44468920
1267487,44468946
1267489,44468962
1267492,44468997
1267493,44469004
1267500,44469071
1267507,44469144
1267509,44469161
1267510,44469179
1267584,44469900
1267591,44469977
1267604,44470118
1267606,44470134
1267625,44470321
1267697,44471041
1267739,44471467
1267867,44472749
1267951,44473591
1268324,44477309
1268351,44477589
1268472,44478836
1268477,44478887
1268481,44478925
1268486,44478976
1276192,44555181
1276358,44556853
1276359,44556861
1276360,44556870
1276367,44556942
1276368,44556951
1276370,44556977
1276371,44556985
1276372,44556993
1276373,44557001
1276374,44557019
1276375,44557027
1276376,44557035
1276377,44557043
1276378,44557051
1276379,44557060
1276380,44557078
1276381,44557086
1276382,44557094
1276383,44557108
1276384,44557116
1276385,44557124
1276386,44557132
1284528,44645392
1288511,44684231
1288512,44684240
1288513,44684258
1294130,44740778
1294142,44740891
1302564,44846347
1311484,44936109
1311516,44936427
1311599,44937342
1311602,44937377
1311608,44937431
1311614,44937491
1311639,44937741
1311640,44937750
1311641,44937768
1311736,44938802
1311864,44940068
1311878,44940203
1311956,44940998
1311999,44941439
1312052,44941960
1316469,44990243
1316471,44990260
1316603,44991584
1316744,44992998
1317020,44995776
1319274,45018316
1321028,45035709
1321047,45035903
1321050,45035938
1330606,45131791
1334907,45180164
1334908,45180172
1334909,45180181
1334910,45180199
1334911,45180202
1334912,45180211
1334913,45180229
1334918,45180270
1334923,45180326
1334929,45180385
1334936,45180458
1334944,45180539
1334945,45180547
1334949,45180571
1334950,45180580
1334951,45180598
1337806,45210021
1337817,45210144
1337847,45210446
1337849,45210462
1337850,45210471
1337855,45210527
1337857,45210543
1337859,45210560
1337861,45210586
1337882,45210799
1337927,45211248
1337932,45211299
1337936,45211337
1337966,45211647
1338283,45214824
