org_id,ico
1299279,44794355
1302578,44846487
1311492,44936184
1311498,44936249
1311530,44936567
1311707,44938438
1311714,44938535
1313868,44961766
1313929,44962398
1316487,44990421
1316617,44991720
1316708,44992637
1316718,44992734
1316742,44992971
1316749,44993048
1316946,44995032
1316991,44995474
1318501,45010315
1319391,45019517
1337931,45211281
1337977,45211752
1338105,45213038
1338378,45215774
1340537,45237107
1340567,45237409
1340590,45237638
1341534,45247234
1341583,45247722
1341982,45251754
1341985,45251789
1341993,45251860
1391867,45768463
1391999,45769788
1392026,45770107
1392077,45770611
1392098,45770824
1392099,45770832
1392100,45770841
1392210,45771944
1392218,45772029
1392224,45772088
1392355,45773408
1412759,45979090
1413075,45982228
1442212,46276297
1442223,46276408
1445757,46311858
1460062,46456961
1463702,46493948
1463884,46495797
1463931,46496262
1480274,46659501
1480275,46659510
1480870,46665421
1480880,46665536
1480918,46665951
1481194,46668730
1489129,46748849
1490684,46764585
1507078,46936815
1521546,47084511
1535168,47224703
1536126,47234148
1536133,47234211
1536226,47235250
1536339,47236370
1538188,47254831
1538189,47254840
1539575,47268646
1539685,47269758
1540158,47274395
1549015,47367598
1555499,47438444
1555502,47438479
1557848,47462094
1558017,47463791
1558136,47465042
1558332,47467053
1560534,47489502
1560617,47490349
1568200,47569921
1571782,47606916
1572155,47610671
1582906,47722827
1587933,47787082
1595551,47863668
1602052,47930187
1602289,47933992
1602303,47934131
1602413,47935243
1608014,47997109
1608038,47997346
1620966,48132004
1621529,48137626
1622647,48148890
1622669,48149110
1623342,48156035
1623553,48158151
1623640,48159034
1623923,48161888
1623927,48161926
1628307,48205991
1628635,48209333
1635377,48282871
1640386,48333034
1649628,48426491
1649921,48429619
1649958,48429988
1649961,48430013
1652252,48452793
1653038,48460851
1654301,48473685
1658337,48515141
1659463,48526274
1661436,48546224
1661462,48546488
1661612,48547999
1661624,48548103
1661712,48548987
1668081,48614751
1668735,48621161
1668763,48621447
1668788,48621692
1671835,48652202
1673461,48668648
1674812,48681962
1676928,48702871
1683720,48770876
1683934,48773000
1686445,48804045
1686620,48805793
1690620,48846490
1695526,48895806
1707874,49019660
1707910,49020021
1707949,49020412
1708890,49029797
1733318,49277031
1733406,49277910
1733534,49279190
1733643,49280295
1734473,49289837
1734499,49290096
1734502,49290126
1734505,49290151
1734542,49290568
1734975,49294911
1735023,49295390
1738076,49330870
1741858,49368478
1741862,49368516
1742033,49370235
1742046,49370367
1748859,49438671
1748968,49439766
1750787,49458361
1750939,49459864
1751476,49465325
1751479,49465350
1751558,49466143
1751617,49466739
1751659,49467166
1751736,49467930
1759849,49558005
1759906,49558579
1760141,49561090
1760365,49563343
1763251,49592050
1763413,49593668
1763438,49593919
1766660,49626710
1766825,49628364
1777881,49745964
1778020,49747355
1781055,49777921
1781123,49778609
1781208,49779451
1798420,49963007
1808083,60060417
1808098,60060565
1809262,60072164
1809286,60072407
1809611,60075694
1809757,60077166
1810349,60083034
1811055,60090031
1814676,60126426
1814688,60126531
1817397,60153717
1817419,60153954
1817446,60154225
1818090,60160802
1818226,60162171
1818340,60163313
1818382,60163739
1818757,60167513
1818768,60167629
1835354,60337133
1835421,60337796
1835428,60337869
1835462,60338202
